,0,1,2
0,0.0,-32.2309,2.809
1,1.1468,-32.2721,2.809
2,2.3052,-32.3967,2.809
3,3.4872,-32.6072,2.809
4,4.7059,-32.9084,2.809
5,5.9755,-33.3074,2.809
6,7.3123,-33.8135,2.809
7,8.7356,-34.4398,2.809
8,9.7122,-33.296,2.6569
9,11.3109,-34.2239,2.6611
10,13.0819,-35.3391,2.6658
11,15.0668,-36.6698,2.67
12,13.7564,-30.3859,2.1231
13,13.7947,-27.8187,1.8525
14,13.828,-25.5831,1.6103
15,13.8573,-23.6143,1.3909
16,13.8834,-21.8633,1.19
17,13.9074,-20.293,1.0043
18,14.3573,-19.4529,0.8566
19,15.8055,-19.9189,0.7572
20,17.772,-20.8587,0.6543
21,19.0411,-20.8317,0.5003
22,20.4206,-20.836,0.3309
23,28.2368,-26.8755,0.1843
24,27.9304,-24.7941,-0.0789
25,20.5084,-16.9714,-0.2441
26,21.4939,-16.5672,-0.4456
27,24.3073,-15.0025,-1.1241
28,24.5876,-14.0279,-1.3405
29,24.8723,-13.0751,-1.5601
30,25.1625,-12.1401,-1.7837
31,25.459,-11.2193,-2.012
32,25.7629,-10.3093,-2.2457
33,26.0752,-9.4065,-2.4858
34,26.397,-8.5077,-2.733
35,26.7297,-7.6097,-2.9883
36,27.0745,-6.7092,-3.2527
37,27.4328,-5.8027,-3.5273
38,39.1506,-5.4958,-5.7098
39,41.3958,-4.3593,-6.4039
40,38.6323,-2.7219,-6.3256
41,45.3848,-1.6214,-7.8507
42,39.8604,-0.0411,-7.2725
43,28.2243,0.9518,-5.4239
44,24.3003,1.6675,-4.9128
45,19.3173,2.0043,-4.1046
46,19.5491,2.7218,-4.362
47,20.1746,3.5333,-4.7239
48,22.7047,4.8038,-5.5759
49,19.0729,4.7428,-4.9107
50,18.9312,5.4242,-5.1086
51,17.9631,5.8428,-5.0797
52,19.0886,6.9682,-5.6563
53,19.5259,7.9276,-6.0632
54,18.2233,8.1697,-5.931
55,17.1359,8.4334,-5.8472
56,17.1828,9.2399,-6.1496
57,11.3012,8.3942,-4.9274
58,0.4583,8.1896,-3.8178
59,0.1379,8.1726,-3.8078
60,-8.2629,8.1996,-4.4333
61,-8.3904,7.7294,-4.2571
62,-8.7917,7.5175,-4.2254
63,-8.6886,6.8919,-3.9611
64,-10.9556,8.0533,-4.7437
65,-10.8165,7.3576,-4.4529
66,-10.6445,6.6871,-4.1702
67,-10.9653,6.3458,-4.0913
68,-11.2603,5.9841,-4.0038
69,-11.6183,5.6477,-3.939
70,-11.2916,4.9963,-3.6516
71,-11.3569,4.5469,-3.5042
72,-11.2905,4.0598,-3.3244
73,-11.2393,3.596,-3.1582
74,-11.1875,3.1474,-2.9998
75,-11.1349,2.7124,-2.8486
76,-11.0816,2.2894,-2.704
77,-29.1845,4.9681,-6.7892
78,-22.7654,3.0595,-5.0462
79,-21.8242,2.1599,-4.6062
80,-20.9837,1.3402,-4.2134
81,-20.2277,0.5865,-3.8601
82,-19.5427,-0.1122,-3.5401
83,-18.9184,-0.765,-3.2485
84,-18.346,-1.3792,-2.9812
85,-18.0337,-1.9847,-2.7679
86,-18.9023,-2.7438,-2.7342
87,-18.897,-3.4124,-2.5694
88,-18.6171,-4.0291,-2.3723
89,-18.6201,-4.7067,-2.2158
90,-18.8808,-5.4708,-2.0895
91,-32.1856,-10.5397,-3.2963
92,-46.4052,-16.986,-4.3723
93,-18.6281,-8.3133,-1.4515
94,-18.9614,-9.2579,-1.3231
95,-28.0047,-17.4664,-1.2634
96,-26.1909,-17.6198,-0.962
97,-27.1322,-21.1171,-0.5303
98,-23.0667,-19.2721,-0.2463
99,-21.4911,-19.2597,-0.0337
100,-20.1404,-19.3513,0.1575
101,-20.2579,-20.8662,0.3555
102,-20.2461,-22.3614,0.5604
103,-20.2333,-23.9766,0.7747
104,-13.2894,-16.912,0.6574
105,-19.0286,-26.0401,1.1669
106,-17.8349,-26.291,1.3196
107,-17.8572,-28.4193,1.5649
108,-18.6343,-32.1045,1.9094
109,-17.8195,-33.3474,2.1163
110,-19.2526,-39.2961,2.6351
111,-16.9872,-38.0053,2.6714
112,-10.3475,-25.5312,1.8686
113,-9.6532,-26.4662,2.0053
114,-9.7887,-30.1025,2.3495
115,-9.5448,-33.3169,2.6671
116,-8.0932,-32.5638,2.6632
117,-6.7471,-31.9434,2.6596
118,-5.4849,-31.4433,2.6566
119,-4.5377,-32.8619,2.809
120,-3.3249,-32.5734,2.809
121,-2.1468,-32.3748,2.809
122,-0.9906,-32.2616,2.809
123,0.1555,-32.2317,2.809
124,1.3031,-32.2841,2.809
125,2.464,-32.4201,2.809
126,3.6503,-32.6426,2.809
127,4.875,-32.9567,2.809
128,6.1527,-33.3695,2.809
129,7.5001,-33.8912,2.809
130,8.9368,-34.535,2.809
131,9.9206,-33.4121,2.6574
132,11.5404,-34.3637,2.6618
133,13.3375,-35.5055,2.6663
134,15.3562,-36.8707,2.6706
135,13.7619,-30.0149,2.0844
136,13.7995,-27.4973,1.8181
137,13.8322,-25.3013,1.5793
138,13.861,-23.3647,1.3626
139,13.6731,-21.3072,1.1461
140,13.9973,-20.2174,0.9862
141,14.1751,-19.0164,0.8225
142,15.9269,-19.8774,0.7385
143,17.942,-20.8573,0.6343
144,19.2124,-20.8205,0.4781
145,20.6128,-20.8343,0.3065
146,28.2348,-26.6209,0.1479
147,28.1587,-24.7606,-0.1146
148,20.5296,-16.8269,-0.2691
149,31.5792,-24.1049,-0.6922
150,24.2237,-15.9683,-0.9452
151,24.3451,-14.8688,-1.1533
152,24.6259,-13.8974,-1.3701
153,24.9114,-12.9472,-1.5902
154,25.2023,-12.0143,-1.8144
155,25.4998,-11.0952,-2.0434
156,25.8047,-10.1863,-2.2779
157,26.1183,-9.2843,-2.5189
158,26.4416,-8.3858,-2.7672
159,26.7758,-7.4877,-3.0236
160,27.1223,-6.5865,-3.2894
161,27.4826,-5.679,-3.5655
162,38.9444,-5.2807,-5.7262
163,37.9468,-3.8161,-5.9165
164,38.7423,-2.5467,-6.3917
165,42.1081,-1.306,-7.3374
166,39.8415,0.1467,-7.3211
167,28.2489,1.0862,-5.4665
168,25.6388,1.8812,-5.2188
169,19.3201,2.0973,-4.1327
170,19.5537,2.8173,-4.3918
171,20.0677,3.6132,-4.7295
172,23.5388,5.0979,-5.8181
173,19.0824,4.8424,-4.9446
174,18.9417,5.5258,-5.1441
175,19.02,6.2881,-5.4128
176,19.0994,7.077,-5.6956
177,20.6533,8.5022,-6.4543
178,18.0217,8.1849,-5.9031
179,17.1422,8.5408,-5.8872
180,17.1892,9.3522,-6.1921
181,0.4146,8.1871,-3.8162
182,0.0945,8.1706,-3.8068
183,-8.3766,8.2288,-4.4599
184,-8.4758,7.7296,-4.2685
185,-8.7774,7.4295,-4.188
186,-8.675,6.8108,-3.927
187,-10.9361,7.9555,-4.7026
188,-10.7983,7.2673,-4.4153
189,-10.6879,6.641,-4.1593
190,-11.0091,6.2991,-4.0807
191,-11.2496,5.908,-3.9742
192,-10.7534,5.1625,-3.6223
193,-10.7665,4.7015,-3.4596
194,-11.3604,4.4845,-3.483
195,-11.2836,3.9959,-3.3013
196,-11.2323,3.5343,-3.1362
197,-11.1804,3.0876,-2.9789
198,-11.1278,2.6542,-2.8286
199,-14.1788,2.8588,-3.4374
200,-29.7448,4.9179,-6.8745
201,-22.631,2.932,-4.9833
202,-21.7045,2.0443,-4.5503
203,-20.8765,1.2343,-4.1633
204,-20.1308,0.4886,-3.8149
205,-19.4546,-0.2034,-3.499
206,-18.8378,-0.8505,-3.2109
207,-18.2719,-1.46,-2.9466
208,-18.0312,-2.0701,-2.7457
209,-18.9016,-2.8342,-2.7117
210,-18.8963,-3.5038,-2.5473
211,-18.6248,-4.1221,-2.3519
212,-18.5875,-4.7911,-2.1908
213,-18.8801,-5.5664,-2.0682
214,-32.1836,-10.7059,-3.2602
215,-46.3271,-17.2035,-4.3135
216,-18.6273,-8.4177,-1.4309
217,-18.8661,-9.3209,-1.2956
218,-28.1437,-17.7369,-1.2378
219,-26.2023,-17.8066,-0.9323
220,-27.5471,-20.1468,-0.7451
221,-24.5377,-19.2837,-0.4503
222,-22.8452,-19.2703,-0.216
223,-21.2866,-19.2581,-0.0067
224,-20.1371,-19.5317,0.1836
225,-20.2563,-21.0628,0.3828
226,-20.2444,-22.5732,0.5889
227,-20.2315,-24.2062,0.8046
228,-13.1593,-16.911,0.6716
229,-18.8542,-26.0604,1.1876
230,-18.7371,-27.9058,1.4199
231,-18.8364,-30.2971,1.6872
232,-18.2566,-31.8022,1.9094
233,-17.8165,-33.7283,2.1577
234,-19.0167,-39.2891,2.6527
235,-16.6721,-37.785,2.6715
236,-10.2467,-25.6347,1.8856
237,-9.6698,-26.9121,2.0479
238,-10.9051,-34.0916,2.6707
239,-9.3405,-33.2061,2.6665
240,-7.9048,-32.4722,2.6627
241,-6.5712,-31.8684,2.6592
242,-5.4547,-32.1855,2.7241
243,-4.3705,-32.8172,2.809
244,-3.1631,-32.5412,2.809
245,-1.9887,-32.3544,2.809
246,-0.8347,-32.2528,2.809
247,0.311,-32.234,2.809
248,1.4597,-32.2976,2.809
249,2.6233,-32.4451,2.809
250,3.814,-32.6798,2.809
251,5.045,-33.0068,2.809
252,6.3312,-33.4338,2.809
253,7.6894,-33.9711,2.809
254,9.14,-34.6328,2.809
255,10.1315,-33.5313,2.658
256,11.7732,-34.5069,2.6624
257,13.5972,-35.6762,2.6669
258,15.6475,-37.0687,2.6707
259,13.7673,-29.6514,2.0464
260,13.8041,-27.1818,1.7841
261,13.8363,-25.0244,1.5487
262,13.8647,-23.119,1.3347
263,13.6908,-21.1129,1.1219
264,13.9752,-19.9816,0.9604
265,14.2094,-18.8747,0.8014
266,16.3742,-20.2383,0.7342
267,18.1133,-20.8558,0.6141
268,19.3941,-20.819,0.4557
269,20.8067,-20.8327,0.2817
270,28.2328,-26.3686,0.1117
271,28.1569,-24.5247,-0.1496
272,20.573,-16.7012,-0.2945
273,31.8856,-24.1025,-0.7366
274,24.2225,-15.805,-0.9727
275,24.383,-14.7355,-1.1826
276,24.6644,-13.7672,-1.3998
277,24.9505,-12.8196,-1.6204
278,25.2423,-11.8888,-1.8452
279,25.5407,-10.9713,-2.0749
280,25.8468,-10.0635,-2.3103
281,26.1616,-9.1622,-2.5522
282,26.4863,-8.2639,-2.8015
283,26.8221,-7.3655,-3.0592
284,27.1704,-6.4637,-3.3262
285,27.5326,-5.5551,-3.6038
286,39.1042,-6.4955,-5.4546
287,38.9646,-5.0976,-5.7757
288,38.053,-3.6464,-5.9795
289,38.8529,-2.3706,-6.4584
290,42.1225,-1.108,-7.3937
291,39.8226,0.3344,-7.3697
292,28.2736,1.2209,-5.5094
293,25.5507,1.9964,-5.2363
294,19.3229,2.1903,-4.1609
295,19.5583,2.9129,-4.4218
296,23.4462,4.337,-5.5617
297,19.8609,4.4008,-4.9407
298,18.8748,4.8861,-4.9222
299,18.9169,5.6174,-5.1701
300,19.0307,6.3936,-5.4504
301,19.1103,7.1863,-5.7352
302,20.6625,8.6235,-6.4984
303,17.546,8.0721,-5.7842
304,17.1486,8.6489,-5.9275
305,17.1957,9.4654,-6.235
306,11.7404,8.2441,-4.933
307,0.371,8.1846,-3.8147
308,0.0512,8.1687,-3.8058
309,-8.4923,8.2587,-4.487
310,-8.5621,7.7298,-4.2801
311,-8.7632,7.3424,-4.1512
312,-8.6615,6.7306,-3.8934
313,-10.9168,7.8588,-4.662
